ASV_ID	10m_0_mV	10m_200_mV	10m_400_mV	10m_600_mV	10m_800_mV	10m_Cont	20_5m_0_mV	20_5m_200_mV	20_5m_400_mV	20_5m_600_mV	20_5m_800_mV	20_5m_Cont	35m_0_mV	35m_200_mV	35m_400_mV	35m_600_mV	35m_Cont
ASV105	4114	2520	1053	374	728	683	167	460	473	611	368	920	0	0	0	0	255
ASV106	1407	1081	865	470	263	6748	82	195	0	122	15	0	0	0	0	0	0
ASV107	1283	1326	1435	3003	4040	774	123	0	0	68	0	0	0	0	0	0	0
ASV108	0	0	0	0	0	0	1654	1017	2274	1870	1920	2242	0	0	3642	73	641
ASV109	879	1643	2359	2252	3975	560	130	0	0	0	30	0	0	0	0	0	0
ASV110	1566	1267	956	443	328	6461	0	0	71	0	0	0	0	0	0	0	0
ASV111	2466	2178	1682	845	924	1785	344	318	554	0	42	0	0	0	0	0	0
ASV112	0	0	0	0	0	0	371	143	740	187	520	0	0	0	0	1260	1612
ASV113	4007	4379	1159	171	33	904	8	0	0	0	0	0	0	0	0	0	0
ASV114	234	122	39	0	0	9277	0	0	0	0	0	0	0	0	0	0	0
ASV115	580	372	2211	4330	813	1863	60	0	52	0	0	0	0	0	0	0	0
ASV116	11	0	0	0	0	0	651	1015	1544	1895	1496	2105	0	0	1405	296	1112
ASV117	895	966	1049	2898	4374	503	23	0	0	0	13	0	0	0	0	0	0
ASV118	0	0	0	0	0	0	269	930	1657	1117	762	264	0	0	4347	0	3782
ASV119	0	0	0	0	0	0	17	470	451	60	98	3753	0	0	0	0	6458
ASV120	0	0	0	0	0	0	0	0	0	0	0	0	2583	3325	966	921	90
ASV121	21	0	0	0	16	0	487	758	1950	1864	1461	1555	2314	0	2693	0	622
ASV122	484	599	880	170	48	175	257	278	908	1372	163	1037	0	5004	274	0	310
ASV123	467	307	152	417	245	45	238	322	907	669	316	0	0	0	1335	488	2156
ASV124	521	397	358	624	425	145	131	94	253	129	151	144	3435	1586	434	132	1707
ASV125	838	766	1340	630	2355	718	138	151	280	731	419	726	0	0	0	0	656
ASV126	0	0	0	0	0	0	8	0	188	0	0	0	3245	8915	0	59	80
